person_name,user_name,email,personal_number,birth_date,address,phone,mac_address,ip_address,iban,accessed_at,session_duration,download_speed,upload_speed,consumed_traffic,unique_id
Teona Pop,teonapop,teonapop@email.ro,4540116420684,1956-12-11,"Aleea Jana Mazilescu Nr. 57 Bl. 16  Sc. 31 Ap. 171, Carei, 707697",0261 443 915,a9:d2:c6:0f:51:04,118.144.214.155,RO88VUDT9298681682689675,2025-05-12 12:42:26,25704,939,778,592901,46193429-0c22-4f98-a7fb-078c836d95f4
Beatrice Oprea,beatriceoprea,beatriceoprea@kappa.ro,3160225177052,2011-10-09,"Bulevardul Eftimie Nr. 84, Jilava, 732334",0252 934 215,6d:2c:0b:88:e8:07,72.205.59.201,RO45UWMS3204096330122844,2025-05-12 12:42:26,29311,716,570,1651005,4cf68d2c-e6f5-4f64-915e-bbd131af938e
Brândușa Diaconu,brândușadiaconu,brândușadiaconu@post.ro,3161208039560,1996-10-07,"Strada Dochioiu Nr. 445, Sancraiu de Mures, 387679",0729 916 349,80:9e:f4:89:ff:10,71.47.107.112,RO33XFIS0078327649155872,2025-05-12 12:42:26,10423,153,509,1289880,d915fbe3-d790-47c0-bfd5-ba2145da75ff
Sandu Ardelean,sanduardelean,sanduardelean@email.ro,8310210228548,2021-05-19,"Bulevardul Nicolaie Stan, Bragadiru, 148209",0729 938 178,50:56:83:d7:2f:2f,184.31.214.231,RO24URUQ8632477998262541,2025-05-12 12:42:26,24690,55,475,1889588,fbfd9f79-cd79-4bf4-af0f-bad172310115
Silviu Popa,silviupopa,silviupopa@kappa.ro,7141206252110,1954-05-06,"Soseaua Valentina Ababei Nr. 80 Bl. 13  Sc. 49 Ap. 920, Tuzla, 404823",0234 420 057,88:9c:26:e0:22:74,195.195.219.98,RO27YVMW7318983616770937,2025-05-12 12:42:26,21236,920,280,1574299,4d221212-3f64-488d-a4c3-8da38229c4f7
Anișoara Manole,anișoaramanole,anișoaramanole@gmail.com,2610815350180,1980-10-11,"Intrarea Nichifor Ionescu Nr. 611 Bl. 85  Sc. 59 Ap. 429, Fetesti-Gara, 681587",0264 627 004,fd:c9:5a:ea:9b:1c,155.223.67.209,RO50TNQW0562170042366795,2025-05-12 12:42:26,12824,422,66,768304,bfd8b2f8-b6c0-4208-b68d-0aacb78f894a
Jasmina Tabacu,jasminatabacu,jasminatabacu@gmail.com,5090829078935,1922-01-10,"Intrarea Bogdan Florea Nr. 87, Paunesti, 393158",0254 419 698,4b:6d:71:ed:4f:3e,142.67.45.78,RO65ZLXB3966570041724202,2025-05-12 12:42:26,29407,984,116,1107473,8bfda1fe-c099-4734-87fa-194be70ce8a7
Petruț Cristea,petruțcristea,petruțcristea@acasa.ro,3230917339053,1988-06-18,"Intrarea Arsenie Dumitrescu Nr. 58 Bl. 55  Sc. 91 Ap. 894, Strehaia, 905939",0744 209 763,6d:c0:63:2f:08:e0,86.152.70.140,RO62UNTJ7663000554471054,2025-05-12 12:42:26,28827,263,686,1883855,e03e81b1-4135-478c-8ffd-8c48619b61b2
Lorelei Nistor,loreleinistor,loreleinistor@acasa.ro,8030803308347,1945-09-07,"Drumul Andrei Nistor Nr. 268, Simeria, 954252",0732 485 329,38:d5:be:85:e3:c5,212.76.190.227,RO67PZMB7429872175123826,2025-05-12 12:42:26,26785,425,438,200076,22fa9ca1-3b76-435d-81cd-3aaf6067b66b
Amalia Ioniță,amaliaioniță,amaliaioniță@zzup.ro,7051110217230,1942-05-08,"Soseaua Nistor Nr. 134 Bl. 15  Sc. 45 Ap. 621, Ruscova, 222355",0247 554 156,67:cb:85:2e:73:26,184.57.113.68,RO81XNZU0748444707302505,2025-05-12 12:42:26,21414,158,79,1446292,bdfb6bb3-9945-4d16-810e-0743e9c3042b
Octavian Dinu,octaviandinu,octaviandinu@post.ro,5940301075230,1989-02-19,"Aleea Luca Gheorghiu Nr. 21, Adjud, 459554",0236 775 076,2c:8c:60:56:6c:46,173.32.219.8,RO45TIDA9253845676626436,2025-05-12 12:42:26,31535,209,608,1354042,1af10d7f-8ab8-41ba-b1db-eb27f02f630b
Miron Barbu,mironbarbu,mironbarbu@kappa.ro,3750316351331,1951-06-22,"Intrarea Ene, Talmaciu, 461729",0261 071 032,31:bb:78:54:75:25,22.27.43.19,RO52IVPB7632674510166347,2025-05-12 12:42:26,18424,783,315,1724444,6775c45b-fff6-40cf-9cef-e754fc9b7882
Filip Eftimie,filipeftimie,filipeftimie@zzup.ro,5470827372595,1919-08-09,"Strada Tudor Nr. 740, Curcani, 518435",0732 879 053,e9:9f:2d:67:19:06,105.228.30.147,RO14FCXM1239965375775380,2025-05-12 12:42:26,16740,499,461,315286,66a4c92d-9b0a-4c5c-9147-584288cd47b3
Emanoil Georgescu,emanoilgeorgescu,emanoilgeorgescu@post.ro,7590614143233,2004-06-18,"Aleea Stănescu, Campulung Moldovenesc, 214871",0751 467 273,21:3b:75:51:96:95,119.141.103.38,RO72LOEM3720603949481018,2025-05-12 12:42:26,21567,732,762,985888,9b5f02cf-2671-4d62-ae26-98cb92de241d
Antoaneta Manole,antoanetamanole,antoanetamanole@acasa.ro,1201111295423,2021-01-05,"Intrarea Barbu Nr. 464 Bl. 35  Sc. 10 Ap. 717, Fundulea, 473727",0241 550 974,74:5f:30:82:58:9e,221.36.19.148,RO92WVLB7876335147869086,2025-05-12 12:42:26,27480,957,584,1222898,a31d0a2d-5fd7-41f5-99bc-b464a93a7f0c
Fiona Georgescu,fionageorgescu,fionageorgescu@kappa.ro,1130103236998,2007-05-23,"Strada Stancu, Baia Mare, 395660",0757 094 600,d0:ab:92:ed:8b:07,16.241.159.108,RO95KBEG3816923635935207,2025-05-12 12:42:26,11924,642,342,1091937,5abc4631-d4e0-40c9-8c0d-0313e77fc0be
Petrică Nemeș,petricănemeș,petricănemeș@post.ro,2540817364947,2017-01-02,"Drumul Nistor Nr. 328 Bl. 93  Sc. 85 Ap. 173, Dumbravita, 230954",0239 721 198,f8:9d:e8:24:c2:14,186.173.147.82,RO98GKPY4920240959555767,2025-05-12 12:42:26,324,14,123,103985,c0daa0e4-759a-46e7-b025-8b89eb6adbe5
Ladislau Stan,ladislaustan,ladislaustan@gmail.com,4240719262339,1990-07-01,"Strada Ene Nr. 82 Bl. 13  Sc. 26 Ap. 579, Cornetu, 508453",0260 080 651,08:f2:f3:3a:79:57,112.66.66.206,RO57DJKN2477823290722985,2025-05-12 12:42:26,28373,748,149,1590752,8f23e72e-6226-4a0a-a372-7247deb22703
Severina Toma,severinatoma,severinatoma@post.ro,6300205529662,1981-09-27,"Aleea Eftimie Nr. 18 Bl. 70  Sc. 77 Ap. 427, Fagaras, 901006",0260 258 713,8a:21:71:5b:26:d2,75.107.255.73,RO68GMBR6486365271019634,2025-05-12 12:42:26,10357,420,196,381968,8c6aae7a-3b35-4d10-a011-f74422d589f6
Traian Albu,traianalbu,traianalbu@acasa.ro,2061010125315,1989-02-15,"Aleea Ababei Nr. 297 Bl. 75  Sc. 83 Ap. 270, Baia, 794305",0724 510 843,95:40:5e:69:7c:52,47.159.50.239,RO98NYHD2294103565160756,2025-05-12 12:42:26,12968,180,585,1555782,77dfcf06-b538-4a2f-a3f9-39dfe818128c
Celia Stancu,celiastancu,celiastancu@acasa.ro,7660902175521,1955-07-22,"Intrarea Marius Suciu, Mogosoaia, 875828",0268 159 964,ea:29:fb:ca:b2:0f,30.71.134.49,RO46LOWS3703861476627533,2025-05-12 12:42:26,33265,910,588,989045,3d56ac18-051c-41ec-9295-f2b0ba62bc51
Marcheta Voinea,marchetavoinea,marchetavoinea@acasa.ro,6511004159254,1937-08-12,"Strada Aurica Stoica Nr. 17 Bl. 42  Sc. 48 Ap. 185, Bals, 192739",0261 275 288,21:77:f5:a2:8c:3e,11.251.141.22,RO96LTEV3146257996444071,2025-05-12 12:42:26,5345,89,137,1431103,cd97608a-ef7c-4746-8725-ca1201df4484
Jeana Ene,jeanaene,jeanaene@email.ro,7240511398623,1991-01-23,"Aleea Nistor Nr. 85, Targu Ocna, 976907",0736 168 969,af:75:94:5b:7d:45,25.207.70.151,RO51TXZX2216443695812060,2025-05-12 12:42:26,22638,823,671,1662899,b91c32bb-cc3e-4278-88c9-59beb58481c0
Amza Preda,amzapreda,amzapreda@post.ro,4940403198461,1918-11-04,"Intrarea Nicodim Popescu Nr. 74 Bl. 85  Sc. 84 Ap. 582, Vicovu de Jos, 216834",0744 656 625,97:20:19:e8:68:e9,166.72.48.241,RO04XJSP3859891220738150,2025-05-12 12:42:26,10285,939,9,1572759,03ae25d6-1a5f-4734-acd7-55eaeabfb5b6
Margareta Stan,margaretastan,margaretastan@acasa.ro,5330630384262,1987-04-14,"Intrarea Suciu Nr. 537 Bl. 26  Sc. 91 Ap. 546, Valu lui Traian, 459273",0743 907 471,9c:5e:c1:2d:cd:14,171.177.242.1,RO02KKAU2879440378960721,2025-05-12 12:42:26,16574,602,387,566084,195cb70b-a99b-4ab6-ad7d-7d29c03e2e6d
Robertina Nistor,robertinanistor,robertinanistor@gmail.com,3020110516272,1999-09-19,"Drumul Mocanu, Titu, 666055",0266 474 792,10:8f:89:dc:56:6c,211.19.162.138,RO11VCLO4808703851277170,2025-05-12 12:42:26,24096,349,602,816910,1c7df599-cdc0-44bc-858c-227d066a655f
Veta Nistor,vetanistor,vetanistor@email.ro,4740921412756,2024-02-19,"Intrarea Nemeș Nr. 52 Bl. 81  Sc. 26 Ap. 299, Siret, 230111",0784 614 854,b6:2b:47:a7:39:60,56.224.91.244,RO67QSVS1545436445736919,2025-05-12 12:42:26,18193,907,596,123447,a46b1841-6444-49c2-b133-f3ab15d46d5a
Adonis Preda,adonispreda,adonispreda@kappa.ro,7330805321579,1915-11-04,"Aleea Gianina Preda Nr. 10 Bl. 89  Sc. 24 Ap. 222, Domnesti, 361626",0768 696 220,cb:9e:e0:2f:02:fe,116.77.10.33,RO33FLMU2627811273851582,2025-05-12 12:42:26,23802,685,134,1772918,e63dced7-f89d-4e00-8726-8fb3ff76cf64
Romina Georgescu,rominageorgescu,rominageorgescu@141.ro,8430730046111,1996-12-27,"Aleea Tabacu Nr. 432, Darabani, 674075",0736 386 120,f1:4e:bb:58:9d:f4,173.137.107.119,RO84KUEG9535480287925599,2025-05-12 12:42:26,34445,725,579,857809,ce78d55a-da67-48e0-b0c0-a676f56d3fb8
Norman Tomescu,normantomescu,normantomescu@141.ro,3120909035453,1931-05-03,"Drumul Maricica Ene, Giurgiu, 342602",0744 963 780,5a:04:7f:b0:dc:77,26.120.54.24,RO69VVVL5408660103031341,2025-05-12 12:42:26,15920,46,752,549455,05b5fca0-c3c0-4d52-9e17-f02aa94ee6d7
Sidonia Ioniță,sidoniaioniță,sidoniaioniță@acasa.ro,4170123406839,1944-04-07,"Aleea Ionescu, Targu Frumos, 604214",0740 073 328,5e:20:18:ce:d7:fd,211.25.39.254,RO36UZUM6984039067296245,2025-05-12 12:42:26,35094,790,544,1606546,758aa68c-23c2-4d8f-9ab2-540f9fc443e4
Elisaveta Barbu,elisavetabarbu,elisavetabarbu@acasa.ro,3771030371394,2005-06-03,"Strada Ruxandra Diaconescu, Marghita, 597701",0234 241 740,9b:c4:09:66:bc:61,157.13.52.56,RO26ZGOE7364268495571066,2025-05-12 12:42:26,29461,616,64,1596752,f7dbdc58-363d-47c4-a53a-d8e8fdd086b5
Lucrețiu Preda,lucrețiupreda,lucrețiupreda@kappa.ro,1720104262960,1956-08-21,"Bulevardul Georgescu Nr. 70 Bl. 55  Sc. 98 Ap. 281, Breaza de Sus, 386237",0724 565 275,b1:7f:a8:9a:0c:ce,157.202.121.252,RO44XGEC0750060986916303,2025-05-12 12:42:26,34089,18,558,848409,6a627e99-b43c-47e6-859d-3717d5fc14b0
Viorica Tomescu,vioricatomescu,vioricatomescu@post.ro,8610723518908,2001-06-17,"Drumul Nistor, Drobeta-Turnu Severin, 183646",0769 816 041,9c:fb:35:64:4d:a6,60.160.71.168,RO07ZWXH5573936993736620,2025-05-12 12:42:26,18265,840,508,1016069,306f3a2f-87e5-435e-9dcb-b609a0e87be9
Robertina Suciu,robertinasuciu,robertinasuciu@acasa.ro,1321103338377,1924-12-11,"Aleea Marin Nr. 62, Valu lui Traian, 924097",0235 523 749,7f:4d:18:63:ec:4a,111.135.180.7,RO66KHHV8056209326853459,2025-05-12 12:42:26,13993,262,716,1278528,2e3e187a-d08e-4ba9-b99f-fbbfe76cae63
Edgar Diaconescu,edgardiaconescu,edgardiaconescu@zzup.ro,5590505063639,2000-04-19,"Bulevardul Barbu Nr. 396, Sfantu Gheorghe, 593143",0232 171 011,4c:82:3a:fb:df:75,35.156.110.37,RO56TKMU1037548073089872,2025-05-12 12:42:26,9207,56,91,483966,8ae159d2-c378-43ca-a52a-dd64fcae4966
Vlaicu Stănescu,vlaicustănescu,vlaicustănescu@acasa.ro,2260625114116,1947-03-27,"Soseaua Dima Nr. 16, Marasesti, 624046",0730 474 857,b1:9a:2b:57:9b:8c,32.116.159.252,RO88MJAJ8919890993964988,2025-05-12 12:42:26,11770,715,273,1918637,f6ae6448-a430-44c4-9f80-8e0cfdbdc697
Rozalia Diaconescu,rozaliadiaconescu,rozaliadiaconescu@zzup.ro,1980713089922,2001-07-04,"Bulevardul Pușcașu, Busteni, 560841",0786 067 447,58:37:c4:19:89:57,115.159.48.25,RO74PBHF8148958761228675,2025-05-12 12:42:26,24787,957,490,874489,ba127ce1-7113-40d2-b57e-b98ec13feacf
Sava Pop,savapop,savapop@post.ro,6230730228131,2009-03-27,"Strada Pop Nr. 857, Harsova, 410798",0266 312 490,c6:74:d1:1d:6a:f4,170.164.72.102,RO79LZJE2064674487990682,2025-05-12 12:42:26,35319,529,550,1157717,43be6120-1184-4b0e-a52c-19ec00292891
Andrian Barbu,andrianbarbu,andrianbarbu@141.ro,6690923210255,2020-08-30,"Drumul Leopoldina Tomescu Nr. 780 Bl. 82  Sc. 56 Ap. 682, Tulcea, 658261",0245 509 713,50:b5:db:41:86:4e,21.107.228.177,RO73RZFR7481196760622006,2025-05-12 12:42:26,22106,119,218,1380654,d2993af9-283d-4179-9bb8-9e76f106fa42
Gheorghe Oprea,gheorgheoprea,gheorgheoprea@141.ro,6800605347951,1987-08-08,"Aleea Pușcașu, Floresti, 144905",0751 601 615,9b:bc:8c:35:66:5e,202.72.248.159,RO58MQZS8847278903729791,2025-05-12 12:42:26,5134,550,410,563227,f30403dd-ac47-4782-9020-a14712f13e46
Eliza Dobre,elizadobre,elizadobre@141.ro,4391113160736,2005-01-07,"Strada Dochioiu, Talmaciu, 981023",0748 096 207,bc:96:06:95:8e:4f,134.229.41.36,RO68AUKL8641474048021491,2025-05-12 12:42:26,14727,815,13,34653,de5d0b11-1933-491d-b5c8-898cf5005d9a
Tudorița Pop,tudorițapop,tudorițapop@141.ro,1251016436640,2011-10-17,"Intrarea Casian Nistor Nr. 482 Bl. 64  Sc. 88 Ap. 684, Greci, 976906",0728 497 331,80:3c:a9:41:fc:c8,206.217.109.135,RO35BDEH9232283023078720,2025-05-12 12:42:26,16657,391,526,525254,d7f198ee-7169-4dd9-ad20-d2104e6820f9
Damian Manole,damianmanole,damianmanole@post.ro,2801105329710,1996-06-06,"Drumul Mugurel Preda Nr. 455 Bl. 15  Sc. 81 Ap. 687, Branesti, 138269",0753 636 579,41:77:44:ff:dc:9e,31.113.104.204,RO71FESN7236887036978433,2025-05-12 12:42:26,12454,637,656,593324,fc66adcf-3340-43cd-af78-82e991a34b93
Narcisa Ioniță,narcisaioniță,narcisaioniță@kappa.ro,2190629298318,1968-08-31,"Bulevardul Sergiu Oprea Nr. 871 Bl. 74  Sc. 21 Ap. 589, Campina, 859693",0262 789 356,86:9b:80:df:b1:7f,22.171.86.71,RO72YQXW6813237897638619,2025-05-12 12:42:26,29701,412,66,573890,d4635af7-11db-4046-9b45-73172a43f6d6
Stana Ioniță,stanaioniță,stanaioniță@post.ro,1791123359449,1928-08-26,"Strada Dorina Mocanu, Vladimirescu, 814001",0759 057 928,ad:79:d8:97:de:2b,35.199.61.249,RO34RNXF9353533283057672,2025-05-12 12:42:26,29927,73,158,1594242,efddd9af-0223-4700-8956-d99055e58575
Codruț Ioniță,codruționiță,codruționiță@email.ro,8801003012962,1926-11-27,"Bulevardul Oprea Nr. 38 Bl. 15  Sc. 73 Ap. 335, Cobadin, 588012",0243 686 575,fb:36:1d:e4:81:9a,181.255.155.19,RO82INZZ0599107790675694,2025-05-12 12:42:26,3440,969,388,1384999,f30eb98d-1d20-4c1f-9ce4-1232852ca176
Pleșu Dinu,pleșudinu,pleșudinu@post.ro,6340327383220,1977-05-09,"Soseaua Dochioiu Nr. 63 Bl. 77  Sc. 62 Ap. 128, Vlahita, 180905",0232 640 551,9c:f5:d7:1d:e9:bb,63.215.203.167,RO29RLUC1481815267762517,2025-05-12 12:42:26,18586,353,668,118578,0ce44e9a-802c-474d-887f-c6703a852ea3
Anabela Ababei,anabelaababei,anabelaababei@acasa.ro,6170417207145,1989-10-30,"Soseaua Estera Mocanu, Petrila, 410926",0726 866 211,10:f1:02:12:98:84,199.78.160.67,RO02MDEK1986887429301112,2025-05-12 12:42:26,26701,76,318,1752507,61d4f864-3a9f-4063-9a27-04887765138a
Betina Ioniță,betinaioniță,betinaioniță@gmail.com,6870716093657,1981-02-16,"Strada Aanei Nr. 90, Calan, 978094",0265 881 267,43:cc:a8:6c:ba:89,209.223.147.103,RO78ODIS3250315221221324,2025-05-12 12:42:26,35164,201,22,664652,22ca8c9e-94fd-42c6-86c0-0f9ad794453d
Victor Toma,victortoma,victortoma@acasa.ro,8850619028155,1926-04-26,"Intrarea Florea Nr. 94 Bl. 64  Sc. 73 Ap. 988, Modelu, 654531",0757 539 757,16:5c:66:7a:8f:7e,35.176.138.97,RO07OOXZ2406647227942875,2025-05-12 12:42:26,9033,91,171,980037,7c42727d-ac60-4926-92b1-c497ee2d1d9f
Marina Oprea,marinaoprea,marinaoprea@email.ro,8090821275625,1996-03-05,"Aleea Florea, Nasaud, 352532",0771 294 259,39:64:32:96:3b:43,135.47.129.33,RO21ERIV8593683731950049,2025-05-12 12:42:26,20283,114,347,605059,77c6d336-9d4a-4fde-936c-350bcce4f45f
Codruța Ene,codruțaene,codruțaene@email.ro,5000609426536,1982-03-28,"Bulevardul Albu Nr. 14 Bl. 15  Sc. 19 Ap. 732, Moldova Veche, 815230",0235 259 984,12:05:5b:ad:d5:a1,94.58.25.251,RO68KTZE4040221988861954,2025-05-12 12:42:26,18668,546,798,1139958,fa8788e2-b26b-4ff0-8411-6f16e745b80d
Sanda Nistor,sandanistor,sandanistor@141.ro,5320312511818,1997-01-26,"Aleea Tudor Nr. 551, Agnita, 864363",0266 223 431,1c:2e:de:a2:7d:20,174.95.129.18,RO30PPXM1197884759747912,2025-05-12 12:42:26,32260,160,613,837175,a727cafa-a79f-44d1-86e4-6bc3ab2adf9a
Gheorghiță Stan,gheorghițăstan,gheorghițăstan@email.ro,8520620429558,2023-06-04,"Soseaua Dumitrescu Nr. 531 Bl. 73  Sc. 81 Ap. 345, Darmanesti, 928711",0785 486 793,b8:97:43:2d:cf:dc,37.156.136.6,RO63JRIS2397535635191145,2025-05-12 12:42:26,9678,660,153,254133,0d893fa9-5af6-469c-a4c5-c180f20a5842
Iasmina Popescu,iasminapopescu,iasminapopescu@141.ro,8830423075370,1949-11-17,"Strada Nora Eftimie Nr. 771 Bl. 85  Sc. 27 Ap. 225, Zimnicea, 665252",0245 509 667,d6:e3:8e:c3:cc:7d,131.70.144.35,RO59ANVZ4064598123117602,2025-05-12 12:42:26,549,699,626,75420,a7844272-8545-468e-aa3d-12d52c88f997
Ion Ioniță,ionioniță,ionioniță@email.ro,3280513349929,1935-07-30,"Aleea Dumitra Mazilescu Nr. 549, Gaesti, 514639",0741 085 664,57:dd:81:8e:4f:1e,144.17.146.167,RO98NAYI5744516582244799,2025-05-12 12:42:26,14302,621,257,256781,5db61d29-4f90-4e68-94bd-3c5bcc91e638
Grațiela Mocanu,grațielamocanu,grațielamocanu@email.ro,5020922450923,1962-08-24,"Aleea Geta Dochioiu Nr. 97 Bl. 31  Sc. 50 Ap. 773, Viseu de Sus, 346199",0243 752 300,81:c3:93:83:83:7d,181.153.120.188,RO04VHVI9141158328213858,2025-05-12 12:42:26,7558,432,41,1681868,74350f9f-17e9-4765-a6db-a7c6647c07e9
Sofia Oprea,sofiaoprea,sofiaoprea@post.ro,5400918039177,1935-11-03,"Strada Nistor, Cajvana, 392229",0240 790 747,de:0b:4c:c4:92:37,211.245.186.186,RO11UBZK0151250773797452,2025-05-12 12:42:26,13045,447,237,1795681,8aa34498-dab4-49d9-8677-a5bd0c06c12d
Olimpia Ionescu,olimpiaionescu,olimpiaionescu@email.ro,2890730211949,1929-07-21,"Strada Victoria Suciu Nr. 29 Bl. 54  Sc. 73 Ap. 573, Cajvana, 957920",0233 648 189,49:91:82:08:5f:da,132.196.143.215,RO78FAFF0115992395793225,2025-05-12 12:42:26,29113,898,374,1694533,8fc7071c-facc-4890-bdb9-50ac7f72ce6c
Denisa Oprea,denisaoprea,denisaoprea@email.ro,5950906131160,1938-09-23,"Bulevardul Preda Nr. 639 Bl. 56  Sc. 91 Ap. 447, Sinaia, 962168",0784 399 530,0d:98:4a:d9:a0:4f,25.93.116.203,RO79TVED5761203105884654,2025-05-12 12:42:26,7667,131,396,328522,bfbeac93-9145-4f87-a4a7-9086d52ce806
Sava Mazilescu,savamazilescu,savamazilescu@post.ro,4230221238423,2005-10-30,"Intrarea Mariana Eftimie, Eforie Nord, 363263",0732 410 734,12:9e:2a:2b:98:5a,206.131.215.200,RO68LTOP8646873260323379,2025-05-12 12:42:26,10411,272,649,115520,ec049e8d-3b6d-479d-8092-134030edb788
Raluca Mazilescu,ralucamazilescu,ralucamazilescu@acasa.ro,6120407527366,1997-07-07,"Drumul Aanei Nr. 775 Bl. 92  Sc. 90 Ap. 659, Babadag, 428852",0231 266 146,6e:68:49:58:ea:40,78.17.20.65,RO30IMRS0626516773569544,2025-05-12 12:42:26,11545,547,568,168109,590e1d68-9333-4fa6-bd32-fd7171cada2e
Mariana Eftimie,marianaeftimie,marianaeftimie@zzup.ro,6790917321090,1990-07-03,"Soseaua Ghenadie Ardelean, Tomesti, 961009",0737 639 814,cc:6c:d7:f9:d0:c9,37.87.42.3,RO39EZOP8476255051107369,2025-05-12 12:42:26,3740,923,267,1441664,c50113ac-5792-4f4c-81e8-16259a27bc86
Georgeta Cristea,georgetacristea,georgetacristea@kappa.ro,6510917178324,1982-12-21,"Aleea Dima Nr. 22, Tunari, 683502",0720 899 748,8b:67:c7:d3:d3:da,216.52.204.201,RO59JSBW8624394053953321,2025-05-12 12:42:26,1387,390,297,1930653,edf82256-2f66-4fe2-9bb1-f123c7b197cf
Casiana Popa,casianapopa,casianapopa@email.ro,6090422334914,1936-11-07,"Bulevardul Dobre Nr. 477, Dumbravita, 325813",0729 286 448,aa:92:2a:6f:46:99,192.81.233.17,RO77RXVV2875010352516811,2025-05-12 12:42:26,30356,600,14,1374819,742e7b61-45df-4d75-a03a-59b4d404f432
Irinel Tabacu,irineltabacu,irineltabacu@acasa.ro,7290826521697,1987-03-10,"Bulevardul Cristea Nr. 42, Cisnadie, 295722",0238 537 273,01:ec:fd:78:3f:f2,133.201.150.153,RO10LUTR2979097540297998,2025-05-12 12:42:26,8831,530,575,1477387,704e8d2a-cdb4-43c2-9929-7eb19b328278
Ivan Albu,ivanalbu,ivanalbu@email.ro,3510930422757,2008-06-02,"Intrarea Cristea, Branesti, 863923",0256 405 111,ea:5a:fe:9b:ff:8b,108.15.208.77,RO92MXGT7780264537851041,2025-05-12 12:42:26,10641,891,223,1610440,1f5d132e-29d2-4238-8717-1d043226ceae
Codrina Cristea,codrinacristea,codrinacristea@post.ro,4780811151059,1937-09-19,"Bulevardul Pușcașu, Timisoara, 140545",0749 690 084,ed:76:80:8e:2e:e4,65.18.154.85,RO28EMZB8969838861385734,2025-05-12 12:42:26,3270,248,559,1682390,bd37248d-071b-4f09-9dbc-db4e70fdcf06
